ASL-devel: ASL 
libQt53DQuickInput-devel: Qt53DQuickInput 
libQt53DQuickRender-devel: Qt53DQuickRender 
libQt53DQuickScene2D-devel: Qt53DQuickScene2D 
libQt53DRender-devel: Qt53DRender 
libQt5Charts5-devel: Qt5Charts 
libQt5Concurrent-devel: Qt5Concurrent 
libQt5Core-devel: Qt5 Qt5Core 
libQt5DBus-devel: Qt5DBus 
libQt5DataVisualization5-devel: Qt5DataVisualization 
libQt5Gui-devel: Qt5Gui 
libQt5Network-devel: Qt5Network 
libQt5OpenGL-devel: Qt5OpenGL 
libQt5OpenGLExtensions-devel-static: Qt5OpenGLExtensions 
libQt5PrintSupport-devel: Qt5PrintSupport 
libQt5QuickControls2-devel: Qt5QuickControls2 
libQt5Sql-devel: Qt5Sql 
libQt5Test-devel: Qt5Test 
libQt5WebKit5-devel: Qt5WebKit 
libQt5WebKitWidgets-devel: Qt5WebKitWidgets 
libQt5Widgets-devel: Qt5Widgets 
libQt5Xml-devel: Qt5Xml 
libSDL2-devel: sdl2 
libaccounts-qt5-devel: AccountsQt5 
libakonadiprotocolinternals-devel: Akonadi 
libalkimia-devel: LibAlkimia 
libalkimia5-devel: LibAlkimia5 
libbullet-devel: Bullet 
libcmocka-devel: cmocka 
libdbusmenu-qt-devel: dbusmenu-qt 
libdbusmenu-qt5-devel: dbusmenu-qt5 
libelektra-devel: Elektra 
libftdi1-devel: LibFTDI1 
libglfw-devel: glfw3 
libgpgmepp-devel: Gpgmepp 
libgravatar-devel: KF5Gravatar 
libical-devel: LibIcal 
libkactivities-devel: KActivities 
libkcddb-devel: KF5Cddb 
libkcddb4-devel: Libkcddb 
libkcompactdisc-devel: KF5CompactDisc 
libkcompactdisc4-devel: Libkcompactdisc 
libkdcraw-devel: KF5KDcraw 
libkde4-devel: KDeclarative 
libkdecoration2-devel: KDecoration2 
libkdegames-devel: KF5KDEGames 
libkdegames4-devel: KDEGames 
libkdepim-devel: KF5Libkdepim KF5LibkdepimAkonadi MailTransportDBusService 
libkdepimlibs4-devel: KdepimLibs 
libkeduvocdocument-devel: LibKEduVocDocument 
libkexiv2-devel: KF5KExiv2 
libkface-devel: KF5KFace 
libkgapi-devel: KPimGAPI 
libkgeomap-devel: KF5KGeoMap 
libkioarchive-devel: KioArchive 
libkipi-devel: KF5Kipi 
libkleo-devel: KF5Libkleo 
libkmahjongg-devel: KF5KMahjongglib 
libkolabxml-devel: Libkolabxml 
libkomparediff2-devel: LibKompareDiff2 
libksane-devel: KF5Sane 
libkscreen-devel: LibKScreen 
libkscreen2-devel: KF5Screen 
libksieve-devel: KF5LibKSieve 
libksysguard5-devel: KF5SysGuard 
libktorrent-devel: KF5Torrent 
libkvkontakte-devel: KF5Vkontakte 
libmediawiki-devel: KF5MediaWiki 
libmygpo-qt-devel: Mygpo-qt 
libmygpo-qt5-devel: Mygpo-qt5 
liboyranos-devel: Oyranos 
libpamtest-devel: libpamtest 
libpolkit-qt-1-devel: PolkitQt-1 
libpolkit-qt5-1-devel: PolkitQt5-1 
libprison-devel: Prison 
libqca-qt5-devel: Qca-qt5 
